specimenID,platform,libraryPrep,libraryPreparationMethod,isStranded,readStrandOrigin,runType,readLength,assay,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryType,sampleBarcode,totalReads,validBarcodeReads,numberCells,medianGenes,medianUMIs,libraryID,referenceSet,libraryVersion,DV200
R4012015.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-155398,,,
R4379962.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-100050,,,
R6939144.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7499,,,
R9551808.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-154333,,,
R3741788.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5032,,,
R4531942.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4160,,,
R8054504.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5028,,,
R2895885.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-106107,,,
R5177066.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7308,,,
R8608442.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-100567,,,
R3984996.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5954,,,
R2110067.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5939,,,
R9307768.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-100213,,,
R5816648.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-8781,,,
R5647192.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4142,,,
R3898113.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5034,,,
R7840275.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4135,,,
R4689636.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-106456,,,
R4146432.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-101143,,,
R8553415.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4770,,,
R6058053.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-2472,,,
R4292728.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5962,,,
R9679238.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-8352,,,
R4289838.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-6003,,,
R9817056.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7310,,,
R5483154.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5993,,,
R5221394.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4110,,,
R3201576.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7343,,,
R2667630.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7311,,,
R5079107.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5986,,,
R5927382.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7284,,,
R8760165.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-8344,,,
R4249236.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5053,,,
R2881301.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7342,,,
R1292795.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4126,,,
R1721075.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5951,,,
R6555891.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4145,,,
R7911202.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7285,,,
R4439627.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-100949,,,
R5234179.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5978,,,
R6862468.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4107,,,
R7721691.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D16-10753,,,
R4147686.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7322,,,
R9088015.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5050,,,
R8351613.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7318,,,
R4641987.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5959,,,
R3722356.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-2459,,,
R8759568.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4781,,,
R9596785.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5988,,,
R1888413.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5931,,,
R8598847.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-154249,,,
R7912121.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5058,,,
R2294544.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-154192,,,
R4361022.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-6013,,,
R6939699.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4137,,,
R6114572.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-103314,,,
R4174623.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4109,,,
R3900996.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-156224,,,
R3086211.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-154522,,,
R3322663.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5055,,,
R4817881.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5038,,,
R4077358.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4161,,,
R9818080.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5027,,,
R9426782.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-125037,,,
R4728676.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-100200,,,
R8451530.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-156033,,,
R2554598.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4141,,,
R1571066.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-8335,,,
R5210462.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-8347,,,
R7047807.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4155,,,
R5196723.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-155184,,,
R2081705.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-155263,,,
R8744945.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-124729,,,
R3769291.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5030,,,
R1801421.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4156,,,
R6655598.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5957,,,
R3280186.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5938,,,
R7286984.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7282,,,
R5079327.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-6012,,,
R3917022.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5976,,,
R1213305.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4788,,,
R6681836.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4149,,,
R1830086.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5031,,,
R9500594.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-155833,,,
R7950545.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-8331,,,
R7039412.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5991,,,
R9907075.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5041,,,
R4581557.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7330,,,
R4184741.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5040,,,
R4262244.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-155651,,,
R9582641.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4116,,,
R1521786.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5036,,,
R6312023.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-2473,,,
R2581860.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5054,,,
R1154454.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4118,,,
R5334541.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7500,,,
R5447358.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7291,,,
R8180874.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5045,,,
R8998310.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5043,,,
R5525186.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5934,,,
R6411801.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4151,,,
R5437670.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4787,,,
R2575548.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4154,,,
R1980623.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-2465,,,
R9810713.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-2474,,,
R9585968.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5933,,,
R6370138.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4112,,,
R3948425.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-6000,,,
R4575675.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4150,,,
R3328867.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4113,,,
R6086139.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4127,,,
R5973191.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4772,,,
R9771008.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7290,,,
R7627203.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-10914_15,,,
R7651923.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-8350,,,
R4567280.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-124661,,,
R7944883.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-124845,,,
R3426726.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5037,,,
R5184427.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7329,,,
R8799615.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4103,,,
R8293796.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-6007,,,
R2709337.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4147,,,
R3405776.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-156164,,,
R2716798.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-2458,,,
R7516349.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5035,,,
R9094222.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-125282,,,
R3884524.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-154671,,,
R4482444.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-103055,,,
R5766881.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5989,,,
R2424757.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4148,,,
R4917253.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4776,,,
R2678902.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7307,,,
R2880377.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-124497,,,
R9323873.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-8342,,,
R6253512.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4153,,,
R6515859.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-10914_1,,,
R4415805.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-154416,,,
R6913259.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-8337,,,
R1067972.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-155448,,,
R6265038.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-6023,,,
R3111222.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4777,,,
R8629052.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D16-204279,,,
R7412731.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7337,,,
R6176158.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-155136,,,
R4258320.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-154998,,,
R5741580.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4138,,,
R1287407.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5990,,,
R2372487.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-6014,,,
R6478102.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5975,,,
R5211056.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7494,,,
R3292822.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-2485,,,
R5636935.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5995,,,
R2237803.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-8329,,,
R5356410.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-2461,,,
R1103580.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-10914_6,,,
R7295303.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-8323,,,
R6765868.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5940,,,
R1042011.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4779,,,
R6226355.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7289,,,
R9072353.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4769,,,
R6887989.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7313,,,
R9286126.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-2484,,,
R7959406.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7332,,,
R8783288.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5949,,,
R4859661.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5965,,,
R8774534.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-2446,,,
R9309271.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7316,,,
R4956716.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4796,,,
R3739042.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-6002,,,
R2703808.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-10914_5,,,
R3910349.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5969,,,
R8044591.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4782,,,
R9393519.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-8326,,,
R3391715.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-6017,,,
R5459434.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5052,,,
R1042566.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7498,,,
R6476704.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7323,,,
R8474433.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4108,,,
R9239503.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-8351,,,
R7438391.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7324,,,
R4087581.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4152,,,
R1617674.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-2470,,,
R4854051.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-8345,,,
R1658200.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4139,,,
R4935546.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7306,,,
R6751504.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5935,,,
R6025812.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4125,,,
R2549195.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5051,,,
R8725848.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-100625,,,
R6911631.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5029,,,
R1538032.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D17-155625,,,
R5557408.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5937,,,
